university,major,error
Arizona Western College,Ventilation and Refrigeration Maintenance Technology/Technician,
Arizona Western College,"Data Analytics, General",
Arizona Western College,Environmental Science,
Arizona Western College,Sport and Fitness Administration/Management,
Arizona Western College,"Sports, Kinesiology, and Physical Education/Fitness, General",
Arizona Western College,Philosophy,
Arizona Western College,"Chemistry, General",
Arizona Western College,"Geology/Earth Science, General",
Arizona Western College,"Physics, General",
Arizona Western College,Welding Technology/Welder,
University of Arizona,Registered Nursing/Registered Nurse,
Central Arizona College,Agricultural/Animal/Plant/Veterinary Science and Related Fields,
Central Arizona College,Agribusiness/Agricultural Business Operations,
Central Arizona College,"Agricultural Business and Management, General",
Central Arizona College,Agricultural Mechanics and Equipment/Machine Technology/Technician,
Central Arizona College,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",
Central Arizona College,"Agriculture, General",
Central Arizona College,Agroecology and Sustainable Agriculture,
Central Arizona College,Equestrian/Equine Studies,
Central Arizona College,Biological and Biomedical Sciences,
Central Arizona College,Biotechnology,
Central Arizona College,"Business, Management, Marketing, and Related Support Services",
Central Arizona College,Accounting,
Central Arizona College,"Business Administration and Management, General",
Central Arizona College,"Business/Commerce, General",
Central Arizona College,"Hospitality Administration/Management, General",
Central Arizona College,"Hotel, Motel, and Restaurant Management",
Central Arizona College,Restaurant/Food Services Management,
Central Arizona College,Small Business Administration/Management,
Central Arizona College,"Communication, Journalism, and Related Programs",
Central Arizona College,Mass Communication/Media Studies,
Central Arizona College,Speech Communication and Rhetoric,
Central Arizona College,Communications Technologies/Technicians and Support Services,
Central Arizona College,Prepress/Desktop Publishing and Digital Imaging Design,
Central Arizona College,Recording Arts Technology/Technician,
Central Arizona College,Computer and Information Sciences and Support Services,
Central Arizona College,"Computer and Information Sciences, General",
Central Arizona College,"Computer Programming, Specific Applications",
Central Arizona College,"Computer Programming/Programmer, General",
Central Arizona College,"Computer Software and Media Applications, Other",
Central Arizona College,Computer Systems Networking and Telecommunications,
Central Arizona College,"Computer/Information Technology Services Administration and Management, Other",
Central Arizona College,Digital/Multimedia and Information Resources Design,
Central Arizona College,Construction Trades,
Central Arizona College,Building/Home/Construction Inspection/Inspector,
Central Arizona College,Building/Property Maintenance,
Central Arizona College,Carpentry/Carpenter,
Central Arizona College,"Construction Trades, General",
Central Arizona College,Electrician,
Central Arizona College,Mason/Masonry,
Central Arizona College,"Culinary, Entertainment, and Personal Services",
Central Arizona College,Baking and Pastry Arts/Baker/Pastry Chef,
Central Arizona College,"Cooking and Related Culinary Arts, General",
Central Arizona College,Culinary Arts/Chef Training,
Central Arizona College,Institutional Food Workers,
Central Arizona College,Education,
Central Arizona College,Early Childhood Education and Teaching,
Central Arizona College,"Education, General",
Central Arizona College,Elementary Education and Teaching,
Central Arizona College,Physical Education Teaching and Coaching,
Central Arizona College,Engineering,
Central Arizona College,"Engineering, Other",
Central Arizona College,"Mechatronics, Robotics, and Automation Engineering",
Central Arizona College,Engineering/Engineering-related Technologies/Technicians,
Central Arizona College,CAD/CADD Drafting and/or Design Technology/Technician,
Central Arizona College,"Drafting and Design Technology/Technician, General",
Central Arizona College,"Electrical, Electronic, and Communications Engineering Technology/Technician",
Central Arizona College,"Engineering/Engineering-Related Technologies/Technicians, Other",
Central Arizona College,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician",
Central Arizona College,Manufacturing Engineering Technology/Technician,
Central Arizona College,Solar Energy Technology/Technician,
Central Arizona College,Family and Consumer Sciences/Human Sciences,
Central Arizona College,Child Development,
